"assessid","stockid","mgmt","assessor","years","start_year","report_year","method","methodshort","methodlong","country","region","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","assesssource","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1"
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","NMFS","NEFSC","1913-2007",1913,2007,"Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","US East Coast","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Acadian redfish Gulf of Maine / Georges Bank","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish",0,"http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/","Current","USA",21,"","0.05","2008","",NA,NA,1913,2007,1913,2007,1913,2007,2007,2,2007,2006,"NEFSC-ACADREDGOMGB-1913-2007-MILLER_2007","NEFSC-ACADREDGOMGB-1913-2007-MILLER_2006",235000,199000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,235000,199000,NA,NA
"NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016","ACADREDGOMGB","NMFS","NEFSC","1913-2014",1913,2014,"Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","US East Coast","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Acadian redfish Gulf of Maine / Georges Bank","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish",999,"","Current","USA",21,"Imported from SIS data dump received 2016",NA,NA,NA,NA,NA,1913,2014,1913,2014,1913,2014,2014,1,2007,2006,"NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016_2007","NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016_2006",206000,185000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,206000,185000,NA,NA
"IOTC-ALBAIO-1950-2014-PONS","ALBAIO","IOTC","IOTC","1950-2014",1950,2014,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Albacore tuna Indian Ocean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",0,"http://www.iotc.org/sites/default/files/documents/2014/07/IOTC-2014-WPTmT05-24_Rev_1_-_SS3_SA_0.pdf","Current","Taiwan",57,"data are from SS3 output files, not the assessment document","0.3","NULL","",NA,NA,1950,2012,1950,2012,1950,2014,2012,2,2012,2011,"IOTC-ALBAIO-1950-2014-PONS_2012","IOTC-ALBAIO-1950-2014-PONS_2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IOTC-ALBAIO-1950-2016-PONS","ALBAIO","IOTC","IOTC","1950-2016",1950,2016,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Albacore tuna Indian Ocean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",999,"http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc","Current","Taiwan",57,"NULL",NA,NA,NA,NA,NA,1950,2014,1950,2014,1950,2016,2014,1,2012,2011,"IOTC-ALBAIO-1950-2016-PONS_2012","IOTC-ALBAIO-1950-2016-PONS_2011",52500,50300,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,52500,50300,NA,NA
"ICCAT-ALBAMED-1951-2016-PONS","ALBAMED","ICCAT","ICCAT","1951-2016",1951,2016,"Unknown","Unknown","Unknown","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-ICCAT-MED","Albacore tuna Mediterranean Sea","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",999,"http://iccat.es/Documents/Meetings/Docs/2017_ALB_REP_ENG.pdf","Current","Spain",37,"Catch based methods ",NA,NA,NA,NA,NA,1980,2015,1980,2015,1951,2016,2015,1,2010,2009,"ICCAT-ALBAMED-1951-2016-PONS_2010","ICCAT-ALBAMED-1951-2016-PONS_2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ICCAT-ALBAMED-1956-2011-CHING","ALBAMED","ICCAT","ICCAT","1956-2011",1956,2011,"Biomass dynamics model","BSPM","Bayesian Surplus Production Model","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-ICCAT-MED","Albacore tuna Mediterranean Sea","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",0,"www.iccat.es/Documents/Meetings/Docs/2011_ALB_ASSESS_EN.pdf","Current","Spain",37,"NULL",NA,NA,NA,NA,NA,1965,2011,1965,2011,1956,2010,2010,2,2010,2009,"ICCAT-ALBAMED-1956-2011-CHING_2010","ICCAT-ALBAMED-1956-2011-CHING_2009",316000,311000,"TBbest-MT","MT",316000,311000,316000,311000,NA,NA,NA,NA,NA,NA
"ICCAT-ALBANATL-1930-2011-SISIMP2016","ALBANATL","ICCAT","ICCAT","1930-2011",1930,2011,"Statistical catch at age model","MULTIFAN-CL","A length-based, age and spatially-structured model for fisheries stock assessment","multinational","Atlantic Ocean","Northern Atlantic","multinational-ICCAT-NATL","Albacore tuna Northern Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",0,"","Current","Spain",27,"Imported from SIS data dump received 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,1930,2011,2011,2.5,2011,2010,"ICCAT-ALBANATL-1930-2011-SISIMP2016_2011","ICCAT-ALBANATL-1930-2011-SISIMP2016_2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ICCAT-ALBANATL-1930-2015-PONS","ALBANATL","ICCAT","ICCAT","1930-2015",1930,2015,"Biomass dynamics model","ASPIC","Surplus production model","multinational","Atlantic Ocean","Northern Atlantic","multinational-ICCAT-NATL","Albacore tuna Northern Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",0,"http://www.iccat.es/Documents/CVSP/CV070_2014/n_3/CV070030830.pdf","Current","Spain",27,"data are from ASPIC output files (run5), not the assessment document. Data at: http://rscloud.iccat.int/kobe/Inputs/albn/2013/aspic/run5/aspic.bot","0.3","NULL","",NA,NA,1930,2012,1930,2011,1950,2015,2011,2.5,2011,2010,"ICCAT-ALBANATL-1930-2015-PONS_2011","ICCAT-ALBANATL-1930-2015-PONS_2010",325000,311000,"TBbest-MT","MT",325000,311000,325000,311000,NA,NA,NA,NA,NA,NA
"ICCAT-ALBANATL-1930-2016-PONS","ALBANATL","ICCAT","ICCAT","1930-2016",1930,2016,"Statistical catch at age model","MULTIFAN-CL","A length-based, age and spatially-structured model for fisheries stock assessment","multinational","Atlantic Ocean","Northern Atlantic","multinational-ICCAT-NATL","Albacore tuna Northern Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",999,"http://iccat.es/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf","Current","Spain",27,"Only reference points available in the report. No B or F",NA,NA,NA,NA,NA,1930,2015,1930,2015,1951,2016,2015,1,2011,2010,"ICCAT-ALBANATL-1930-2016-PONS_2011","ICCAT-ALBANATL-1930-2016-PONS_2010",529000,515000,"TBbest-MT","MT",529000,515000,529000,515000,NA,NA,NA,NA,NA,NA
"ISC-ALBANPAC-1950-2012-PONS","ALBANPAC","ISC","ISC","1950-2012",1950,2012,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","multinational","Pacific Ocean","North Pacific Ocean","multinational-ISC-NPAC","Albacore tuna North Pacific Ocean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",0,"http://isc.ac.affrc.go.jp/pdf/ISC14pdf/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf","Current","Japan",61,"data comes from the assessment document",NA,NA,NA,NA,NA,1966,2012,1966,2012,1950,2012,2012,2,2012,2011,"ISC-ALBANPAC-1950-2012-PONS_2012","ISC-ALBANPAC-1950-2012-PONS_2011",669000,661000,"TBbest-MT","MT",669000,661000,669000,661000,NA,NA,110000,111000,NA,NA
